, ab2B, ab3B, ab4B, ab5B, ac1a, ac1b, ac2a, ac2b, ac3a, ac4, Gr21a, Or10a, Or13a, Or19a, Or1a, Or22a, Or22b, Or22c, Or23a, Or24a, Or2a, Or30a, Or33a, Or33b, Or33c, Or35a, Or42a, Or42b, Or43a, Or43b, Or45a, Or45b, Or46a, Or47a, Or47b, Or49a, Or49b, Or56a, Or59a, Or59b, Or59c, Or63a, Or65a, Or67a, Or67b, Or67c, Or67d, Or69a, Or71a, Or74a, Or7a, Or82a, Or83a, Or83c, Or85a, Or85b, Or85c, Or85d, Or85e, Or85f, Or88a, Or92a, Or94a, Or94b, Or98a, Or9a, pb2A
CCCCC\C=C\C=O, 0.025735137254, 0.0580337287931, 0.0, 0.0697255833429, nan, nan, nan, nan, nan, nan, nan, 0.0384064884531, 0.255295997787, nan, nan, 0.212828101326, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.111552901986, nan, nan, nan, nan, nan, nan, nan, nan, 0.0322005512154, nan, nan, 0.0433727215327, nan, nan, nan, nan, nan, 0.0682282397525, nan, nan, nan, nan, 0.526027181238, 0.0630494509069, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.02328988771, nan, nan, 0.109110821015, nan, nan
CCCCCCCCC=O, 0.00901742886361, 0.0431258024224, 0.0, 0.012661302911, 0.074080775912, 0.139456922561, 0.0534134142692, 0.0561248038401, 0.043335912852, 0.0817001469868, nan, 0.0384064884531, 0.0830020612989, nan, nan, 0.0809264561689, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.123953836352, nan, 0.111552901986, nan, nan, nan, nan, nan, nan, nan, nan, 0.0322005512154, nan, nan, 0.0314351741415, nan, nan, nan, nan, 0.137817029062, 0.0682282397525, nan, nan, nan, nan, 0.526027181238, 0.0630494509069, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.026459149689, nan, nan, 0.109110821015, nan, nan
CCCC\C=C\C=O, nan, nan, nan, nan, 0.0837434858135, 0.0261481729802, 0.0911170008122, 0.0856641742823, 0.0340496458123, 0.117221950024, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.792379367196, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
CC(C)=O, 0.0139864019293, 0.0285058578318, 0.0, 0.048371505961, nan, nan, nan, nan, nan, nan, 0.3540786513, 0.0333415308028, 0.140017570482, 0.0625751034438, nan, 0.130798650616, nan, nan, 0.0043853080774, nan, 0.030253140383, nan, nan, 0.00685508488019, nan, 0.10044600223, 0.364448150994, 0.111552901986, 0.0333612750483, 0.0754998733704, nan, nan, nan, 0.0289253746051, 0.167465107403, nan, 0.020443176602, nan, nan, 0.35923028947, nan, nan, 0.0333736020311, 0.0783595824877, 0.115333740015, 0.03329330518, nan, nan, 0.00890619589405, nan, 0.133623781432, 0.0284936895533, nan, nan, 0.0332974715894, 0.114497715309, nan, nan, nan, 0.0850685801149, 0.039550687072, 0.0236366969575, nan, nan, 0.0856592375389, 0.173775347824, nan
CCC(C)=O, nan, nan, nan, nan, 0.0515344528083, 0.126382836071, 0.0345616209977, 0.0443090556633, 0.0092862670397, 0.0710436060755, nan, 0.0581730021435, 0.120720576576, 0.0834334712583, nan, 0.279253952094, nan, nan, 0.0263118484644, nan, 0.0470435342846, nan, nan, 0.0559008273365, nan, 0.133901792158, nan, nan, 0.0521271481354, 0.121749772432, nan, nan, nan, 0.0849956456096, 0.130027833697, nan, 0.0156584252217, nan, nan, 0.417750267416, nan, nan, 0.0512101056012, 0.177044465154, 0.14835974635, 0.0563593353187, nan, nan, nan, nan, 0.173566764621, 0.0664314907288, nan, nan, 0.0473380720824, 0.15775457584, nan, nan, nan, 0.142656278881, 0.0286307994465, 0.156777462167, nan, nan, 0.0424079042432, 0.370826380393, nan
CCCC(C)=O, nan, nan, nan, nan, 0.0837434858135, 0.0348642306403, 0.0534134142692, 0.0443090556633, 0.021667956426, 0.0817001469868, nan, 0.0957617017355, nan, 0.118197417616, nan, 0.355260944061, nan, nan, 0.0644822492251, nan, 0.114176621658, nan, nan, 0.0673945458764, nan, 0.398764611553, nan, nan, 0.138841087187, 0.324426471498, nan, nan, nan, 0.292902543114, 0.0485579046425, nan, 0.0156584252217, nan, nan, 0.172220960419, nan, nan, 0.0959726188659, 0.183960978186, nan, 0.113585514058, nan, nan, nan, nan, 0.156531565257, 0.130321735412, nan, nan, 0.028302850851, 0.413507311926, nan, nan, nan, 0.181538195379, 0.0176457050155, nan, nan, nan, 0.0633953316723, 0.467374705578, nan
CCCCCC(C)=O, 0.0142254211879, 0.57758217412, 0.0, 0.392417646158, 0.074080775912, 0.113308749581, 0.0942589663575, 0.0472629927075, 0.0371450681588, 0.0497305242528, 0.223394640604, 0.0552199311351, 0.204736681317, 0.51809787132, 0.113729891508, 0.268494173389, 0.0833333333333, 0.105132037867, 0.151925504019, 0.0427329953022, 0.158123108213, 0.0551149620968, 0.0639730639731, 0.0171077743, 0.345375873214, 0.346182686424, 0.567302688348, 0.102237856948, 0.224956685869, 0.307577513089, 0.561575220134, 0.0823118625256, 0.0115186618262, 0.590743424678, 0.126598306237, 0.153752252302, 0.0238670067413, nan, 0.0835528408979, 0.0929593335864, 0.14818619697, nan, 0.161210418285, 0.462638559567, 0.530630734338, 0.0843081998597, nan, nan, 0.0634668138371, 0.236258306034, 0.149590437166, 0.0952829106149, nan, nan, 0.149900051737, 0.851879593709, 0.685731760376, 0.436836836837, 0.109433962264, 0.181637059802, 0.10007915705, 0.0257637473977, 0.0981357739032, 0.132957616206, 0.621164369039, 0.377998473238, 0.0975710697258
CC(C)=CCCC(C)=O, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0615886409912, nan, 0.327397322221, nan, 0.235671473626, nan, nan, 0.148279130191, nan, 0.187688841318, nan, nan, 0.00558496487694, nan, 0.0371394157782, nan, nan, 0.119845772073, 0.198753132959, nan, nan, nan, 0.183631301316, 0.244438565085, nan, 0.00679701313039, nan, nan, 0.015816545222, nan, nan, 0.194808704315, 0.716535627263, nan, 0.0495734933855, nan, nan, nan, nan, 0.0717823938039, 0.22011802217, nan, nan, 0.0299677244304, 0.911202117853, nan, nan, nan, 0.12422967219, 0.0264468219214, nan, nan, nan, 0.706864980493, 0.265588233007, nan
CC(=O)C(C)=O, 0.0186565323234, 0.245257907098, 0.0, 0.0431776097226, nan, nan, nan, nan, nan, nan, 0.205631587367, 0.0475643829702, 0.169635306709, 0.181427596789, 0.0248784137673, 0.229480482775, nan, 0.0509731092691, 0.0736590846545, 0.0953274510587, 0.0431709550217, 0.0278592752106, 0.0213243546577, 0.0323426698983, nan, 0.185264929266, 0.753282044363, 0.428352028514, 0.12302925815, 0.26585649508, 0.0985404354555, 0.0721822034101, nan, 0.119917134233, 0.157561954955, 0.0776175874086, 0.034709591192, nan, 0.0585771226068, 0.374425305882, nan, nan, 0.0969037553685, 0.182272015127, 0.213896225991, 0.0921270195946, nan, nan, 0.00890619589405, 0.0391337646458, 0.210596395261, 0.0688007315083, nan, nan, 0.145642096824, 0.375639690612, 0.210724414981, nan, nan, 0.0819453818139, 0.100764100806, 0.849220467955, 0.0484447150121, 0.059333234583, 0.106432508807, 0.403799356254, nan
C[C@H](O)C(C)=O, 0.00829451544177, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, nan, nan, 0.244383310326, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.79905110259, nan
C\C=C\C(C)=O, 0.00829451544177, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.13512313981, nan, nan, 0.344738901981, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.473301893579, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.2479784165, nan, nan, nan, nan, nan
